id,ra,dec,rad,tmin,duration,caldb,irf,emin,emax
000096,218.3445,-61.4766,  5.0000,663208320.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000097,218.6419,-61.4172,  5.0000,663210240.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000098,218.9382,-61.3573,  5.0000,663212160.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000099,219.2334,-61.2967,  5.0000,663214080.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000100,219.5274,-61.2355,  5.0000,663216000.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000101,219.8203,-61.1736,  5.0000,663217920.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000102,220.1120,-61.1111,  5.0000,663219840.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000103,220.4026,-61.0480,  5.0000,663221760.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000104,220.6921,-60.9843,  5.0000,663223680.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000105,220.9804,-60.9200,  5.0000,663225600.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000106,221.2675,-60.8551,  5.0000,663227520.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000107,221.5534,-60.7895,  5.0000,663229440.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000108,221.8382,-60.7234,  5.0000,663231360.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000109,222.1218,-60.6567,  5.0000,663233280.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000110,222.4043,-60.5893,  5.0000,663235200.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000111,222.6856,-60.5214,  5.0000,663237120.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000112,222.9657,-60.4530,  5.0000,663239040.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000113,223.2446,-60.3839,  5.0000,663240960.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000114,223.5223,-60.3142,  5.0000,663292800.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000115,223.7989,-60.2440,  5.0000,663294720.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000116,224.0743,-60.1733,  5.0000,663296640.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000117,224.3485,-60.1019,  5.0000,663298560.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000118,224.6215,-60.0300,  5.0000,663300480.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000119,224.8933,-59.9576,  5.0000,663302400.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000120,225.1640,-59.8846,  5.0000,663304320.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000121,225.4334,-59.8110,  5.0000,663306240.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000122,225.7017,-59.7369,  5.0000,663308160.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000123,225.9688,-59.6623,  5.0000,663310080.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000124,226.2347,-59.5871,  5.0000,663312000.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000125,226.4994,-59.5114,  5.0000,663313920.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000126,226.7630,-59.4352,  5.0000,663315840.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000127,227.0253,-59.3585,  5.0000,663317760.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000128,227.2865,-59.2812,  5.0000,663319680.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000129,227.5465,-59.2034,  5.0000,663321600.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000130,227.8053,-59.1251,  5.0000,663323520.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000131,228.0630,-59.0463,  5.0000,663325440.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000132,228.3195,-58.9670,  5.0000,663327360.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000133,228.5748,-58.8872,  5.0000,663379200.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000134,228.8289,-58.8070,  5.0000,663381120.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000135,229.0818,-58.7262,  5.0000,663383040.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000136,229.3336,-58.6449,  5.0000,663384960.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000137,229.5842,-58.5632,  5.0000,663386880.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000138,229.8337,-58.4809,  5.0000,663388800.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000139,230.0820,-58.3982,  5.0000,663390720.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000140,230.3291,-58.3150,  5.0000,663392640.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000141,230.5751,-58.2314,  5.0000,663394560.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000142,230.8199,-58.1473,  5.0000,663396480.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000143,231.0636,-58.0627,  5.0000,663398400.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000144,231.3062,-57.9777,  5.0000,663400320.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000145,231.5475,-57.8922,  5.0000,663402240.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000146,231.7878,-57.8063,  5.0000,663404160.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000147,232.0269,-57.7199,  5.0000,663406080.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000148,232.2649,-57.6331,  5.0000,663408000.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000149,232.5017,-57.5458,  5.0000,663409920.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000150,232.7374,-57.4581,  5.0000,663411840.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000151,232.9720,-57.3700,  5.0000,663413760.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000152,233.2055,-57.2814,  5.0000,663465600.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000153,233.4379,-57.1924,  5.0000,663467520.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000154,233.6691,-57.1030,  5.0000,663469440.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000155,233.8993,-57.0132,  5.0000,663471360.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000156,234.1283,-56.9230,  5.0000,663473280.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000157,234.3562,-56.8323,  5.0000,663475200.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000158,234.5831,-56.7413,  5.0000,663477120.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000159,234.8088,-56.6498,  5.0000,663479040.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000160,235.0335,-56.5580,  5.0000,663480960.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000161,235.2571,-56.4657,  5.0000,663482880.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000162,235.4796,-56.3731,  5.0000,663484800.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000163,235.7010,-56.2800,  5.0000,663486720.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000164,235.9213,-56.1866,  5.0000,663488640.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000165,236.1406,-56.0928,  5.0000,663490560.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000166,236.3589,-55.9986,  5.0000,663492480.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000167,236.5760,-55.9040,  5.0000,663494400.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000168,236.7922,-55.8091,  5.0000,663496320.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000169,237.0072,-55.7137,  5.0000,663498240.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000170,237.2213,-55.6180,  5.0000,663500160.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000171,237.4343,-55.5220,  5.0000,663552000.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000172,237.6462,-55.4256,  5.0000,663553920.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000173,237.8572,-55.3288,  5.0000,663555840.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000174,238.0671,-55.2317,  5.0000,663557760.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000175,238.2760,-55.1342,  5.0000,663559680.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000176,238.4839,-55.0364,  5.0000,663561600.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000177,238.6908,-54.9382,  5.0000,663563520.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000178,238.8967,-54.8397,  5.0000,663565440.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000179,239.1015,-54.7408,  5.0000,663567360.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000180,239.3054,-54.6416,  5.0000,663569280.0000,1800.0000,prod3b-v2,South_z40_50h,0.013,199.0
000181,239.5084,-54.5420,  5.0000,663571200.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000182,239.7103,-54.4422,  5.0000,663573120.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000183,239.9112,-54.3420,  5.0000,663575040.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000184,240.1112,-54.2414,  5.0000,663576960.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000185,240.3102,-54.1406,  5.0000,663578880.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000186,240.5083,-54.0394,  5.0000,663580800.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000187,240.7054,-53.9379,  5.0000,663582720.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000188,240.9015,-53.8361,  5.0000,663584640.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000189,241.0967,-53.7340,  5.0000,663586560.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000190,241.2910,-53.6316,  5.0000,663638400.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000191,241.4843,-53.5288,  5.0000,663640320.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000192,241.6767,-53.4258,  5.0000,663642240.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000193,241.8682,-53.3224,  5.0000,663644160.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000194,242.0587,-53.2188,  5.0000,663646080.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000195,242.2484,-53.1148,  5.0000,663648000.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000196,242.4371,-53.0106,  5.0000,663649920.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000197,242.6250,-52.9061,  5.0000,663651840.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000198,242.8119,-52.8013,  5.0000,663653760.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000199,242.9979,-52.6961,  5.0000,663655680.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000200,243.1831,-52.5908,  5.0000,663657600.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000201,243.3674,-52.4851,  5.0000,663659520.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000202,243.5508,-52.3791,  5.0000,663661440.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000203,243.7333,-52.2729,  5.0000,663663360.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000204,243.9150,-52.1664,  5.0000,663665280.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000205,244.0958,-52.0596,  5.0000,663667200.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000206,244.2757,-51.9526,  5.0000,663669120.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000207,244.4548,-51.8452,  5.0000,663671040.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000208,244.6330,-51.7377,  5.0000,663672960.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000209,244.8104,-51.6298,  5.0000,663724800.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000210,244.9870,-51.5217,  5.0000,663726720.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000211,245.1628,-51.4133,  5.0000,663728640.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000212,245.3377,-51.3047,  5.0000,663730560.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000213,245.5118,-51.1958,  5.0000,663732480.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000214,245.6851,-51.0867,  5.0000,663734400.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000215,245.8576,-50.9773,  5.0000,663736320.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000216,246.0292,-50.8677,  5.0000,663738240.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000217,246.2001,-50.7578,  5.0000,663740160.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
000218,246.3702,-50.6477,  5.0000,663742080.0000,1800.0000,prod3b-v2,South_z20_50h,0.013,199.0
