N	filename	GLON	GLAT	R_pwn	R_pwn_deg	distance	cr_fl_01	cr_fl_1	nh	age	X	Y	Z	v_X	v_Y	v_Z	v_3d	E_sn	M_ej	l0	t0	eta	eps	ebreak	alpha1	alpha2	Tfir	Ufir	Tnir	Unir
2762	./spectra/ph_sed_pwn_2762.txt	1.444353708962186	-0.05164478305662214	3.7106508530870976	0.01823277049164336	23.321154187672292	1.0643087525038905e-06	2.150339886041631e-06	0.2128897189129408	64616.198066081175	-14.81373504618626	0.5878341246361046	-0.02102102102102099	0.8767596223313743	-817.3747871215767	129.44734223020652	827.562037396558	1e+51	2.384313977811885e+34	4.772637580111057e+35	81039.31083182737	0.07286527941180243	0.29942878723763844	0.4216409546017104	1.4948498572991922	2.256998003120091	28.348702370754083	1.6021369427881988e-13	3170.1912504607953	2.1385313246960492e-13
2763	./spectra/ph_sed_pwn_2763.txt	17.794531283362186	-3.661625630494488	1.8262603221692717	0.018467075852619377	11.33227652977552	9.309179551783145e-06	8.835786453472921e-06	0.2136619716184301	72516.1465613331	-2.2680973799637543	3.45612414919348	-0.7237237237237237	-40.7718136007702	-23.20975552204287	-167.35700711786225	173.80851925937677	1e+51	2.2727709571655927e+34	2.5306383213407455e+37	3560.7425228831207	0.12866397402991225	0.445696385034984	0.23245452431200986	1.192400943373487	2.5502729540031543	31.975309402972236	2.155331501715669e-12	2776.286148419284	9.687577650006071e-12
2770	./spectra/ph_sed_pwn_2770.txt	-66.4218387031389	-0.08347535559340866	3.778954149679608	0.03501488235090282	12.367204014889138	0.00029001802851913027	0.0001180847678894009	0.4466066325084276	28569.176356129672	3.5531270431596704	-11.334719160429099	-0.018018018018017945	309.44540597275915	-231.07060849711155	-99.1533424689428	398.72480573903914	1e+51	3.1435682718228913e+34	6.090549562413085e+37	1883.2870164668607	0.1028526839620952	0.6169606280269733	0.3348941053436077	1.6093096947089776	2.0980128026553366	35.287868132124686	4.370008118650562e-13	3315.099336416585	8.117176009836147e-13
2778	./spectra/ph_sed_pwn_2778.txt	33.83071808059333	0.12056419892840278	1.7241879178440018	0.013844486832486935	14.271195466121918	1.6831159729316632e-05	5.552625706565462e-06	1.3666419261510012	21764.29288190569	-3.3548574894258487	7.9453427953084015	0.03003003003003002	314.3736195795674	-141.94543068003514	39.76926610473925	347.21876750113717	1e+51	1.9670912728626801e+34	1.3102636231835922e+39	86.75605421722948	0.09379434832227346	0.13665297117995726	0.3477962722109042	1.6493825891995069	2.1428812252414406	21.53275458259607	1.7213631474825885e-12	2561.6083531744835	1.4391668941867758e-12
2779	./spectra/ph_sed_pwn_2779.txt	69.65042404408723	-0.027757103884479602	0.4303136048184759	0.007954876419338827	6.198752052213267	7.571470418221095e-08	4.415519614541798e-08	1.5580549991850017	69632.9859270297	6.344402557667781	5.811877291667639	-0.0030030030030029358	220.25394291754216	-280.2212781655742	95.71601098789505	369.0492092755474	1e+51	2.40165607462086e+34	5.753697339333826e+39	35.5431179297216	0.12382728328479928	0.5306474362411049	0.2054337855578076	1.6889123156331145	2.0282115137066707	37.116589627120156	9.69772838523643e-13	3097.927482298643	1.524644217437532e-12
2780	./spectra/ph_sed_pwn_2780.txt	130.97744575837208	0.27661164710661934	22.31922190394404	0.5139494664211091	4.976220433746277	0.0016294776258253063	0.0005667923897258152	0.38615911893314936	87914.89089423139	11.763177687712426	3.756842295055709	0.02402402402402404	-47.19529645111124	166.15180724482028	-122.27453561197821	211.62438686728214	1e+51	3.1280921404562565e+34	9.876068504143733e+39	211.25239747452503	0.0877931736052192	0.6152162049117857	0.3366170196323702	1.6822357853233638	2.3874052687513894	34.47009877385035	2.203524197014156e-13	3801.106620166428	4.014269749148722e-13
2781	./spectra/ph_sed_pwn_2781.txt	-75.77719706492023	-0.4999203326900667	5.467875304796378	0.06501744567877153	9.636984047132318	0.0016917749999791124	0.005667403738478313	0.367489643249726	34035.352027776265	6.132348751909458	-9.341232197033847	-0.08408408408408408	-57.07520480948427	-12.448275891287205	-58.61508018263064	82.75425186373444	1e+51	3.976950830676288e+34	1.0088786786620996e+40	343.8921191605964	0.1023232125973884	0.2221733011251452	0.4729523549377898	1.1632431190711725	2.205534984711319	38.30358067120342	6.186960993755674e-13	3752.378394162804	8.778165798071126e-13
2785	./spectra/ph_sed_pwn_2785.txt	-1.6287041156735014	0.09014204438539816	7.751666141086194	0.03579753351375976	24.81387138682941	5.604820029656382e-05	1.7159205887714236e-05	0.13934694637392026	44307.59889424921	-16.303815919828864	-0.7052694313429204	0.03903903903903905	-176.8752934068097	122.1540205671162	38.080695948788296	218.303947656474	1e+51	2.0411388145968527e+34	7.958484624999578e+38	378.130034747197	0.10877945566936084	0.4678418999991668	0.5264505613377257	1.618918839952176	2.294480472132085	30.10169080207187	9.490553791063e-14	3838.125535992189	2.275443161402082e-13
2788	./spectra/ph_sed_pwn_2788.txt	-0.20943060096175822	-0.07507550170895784	5.337324346177732	0.03335845341592543	18.334550499811453	0.00855111092882693	0.003450147878699528	0.8710851742144781	6002.994095716896	-9.834412277684562	-0.06701722387399375	-0.02402402402402404	-90.95208287828268	-209.0533072591177	-86.09580748488466	243.69664487298007	1e+51	2.7168300504648523e+34	1.7746511785363237e+38	4710.404434231633	0.11462398526786742	0.4652472973398896	0.3815874122846887	1.3389758390120812	2.1268230535680184	30.486916818894766	9.670570488710847e-13	3882.9261106998974	1.4252671496229505e-12
2789	./spectra/ph_sed_pwn_2789.txt	22.17911982861881	-0.1692054972158048	0.6131180548380021	0.0062811546251397175	11.185547511968503	6.625726879406696e-06	9.52240522876441e-06	3.1671795378816463	50901.96293293032	-1.8578637625406391	4.222563230773575	-0.033033033033033066	54.605680814302815	69.97186989562192	181.55922274317555	202.09303381608532	1e+51	3.399811882161262e+34	1.3448634883718818e+36	73374.70497582755	0.11344988627860784	0.3196168900900001	0.4062835996259036	1.1122413543583078	2.363172512264963	37.632715443874325	5.124530573934452e-12	2872.946505829193	6.3749043873187836e-12
